ID,Chinese,English,MathA,MathB,Society,Nature
10065233,9,7,10,null,13,null
10065349,13,13,15,null,8,null
10065443,4,12,10,null,4,null
10065670,15,7,14,null,11,null
10065681,4,15,11,null,11,null
10066236,11,15,13,null,13,null
10066398,14,15,10,null,4,null
10066479,15,13,15,null,13,null
10066574,14,15,12,null,6,null
10066651,2,3,12,null,4,null
10067059,6,12,13,null,12,null
10067191,3,10,15,null,15,null
10067276,1,2,10,null,15,null
10067324,14,12,3,null,14,null
10067354,7,14,5,null,3,null
10067597,3,6,2,null,15,null
10067718,8,1,15,null,3,null
10067802,10,14,5,null,13,null
10067805,14,14,8,null,7,null
10067806,14,15,9,null,5,null
10068236,1,14,11,null,15,null
10069205,9,9,15,null,1,null
10069402,2,5,12,null,15,null
10069686,13,13,4,null,13,null
10069707,8,14,3,null,5,null
10069754,1,4,2,null,12,null
10069842,15,12,14,null,9,null
10069887,9,14,5,null,12,null
10070561,1,15,5,null,2,null
10070799,12,5,12,null,14,null
10071368,15,12,2,null,14,null
10071392,14,4,8,null,1,null
10071495,7,15,2,null,14,null
10071661,8,14,2,null,1,null
10071967,14,4,12,null,14,null
10071972,13,14,13,null,14,null
10072150,11,11,9,null,14,null
10072302,8,11,14,null,14,null
10072314,5,13,12,null,9,null
10073213,13,9,9,null,2,null
10073221,14,12,12,null,3,null
10073237,4,15,6,null,2,null
10073256,3,15,2,null,7,null
10073439,5,14,15,null,13,null
10073461,1,6,2,null,7,null
10073602,9,4,12,null,6,null
10073656,11,3,5,null,13,null
10073740,5,15,3,null,13,null
10073980,14,13,3,null,5,null
10074018,10,1,8,null,13,null
10074275,14,10,12,null,6,null
10074393,2,14,15,null,7,null
10074581,5,1,6,null,6,null
10074775,12,3,10,null,8,null
10074785,13,2,15,null,15,null
10074812,1,12,2,null,15,null
10075046,1,15,11,null,15,null
10075181,10,14,2,null,14,null
10075241,4,1,4,null,14,null
10075330,13,8,3,null,5,null
10075490,2,12,10,null,5,null
10075716,2,12,4,null,7,null
10075991,8,15,10,null,15,null
10076131,13,13,15,null,14,null
10076696,14,14,14,null,2,null
10076914,12,1,2,null,6,null
10077099,2,14,4,null,8,null
10077269,9,2,2,null,13,null
10077336,14,2,11,null,13,null
10077427,2,14,15,null,2,null
10077840,4,13,12,null,15,null
10077873,2,15,14,null,15,null
10077977,9,4,4,null,10,null
10078113,15,14,5,null,14,null
10078152,14,15,12,null,1,null
10078381,5,3,15,null,3,null
10078751,14,4,15,null,2,null
10078898,11,12,13,null,15,null
10078987,15,12,1,null,5,null
10079021,9,12,3,null,5,null
10079176,15,1,1,null,7,null
10079254,3,1,2,null,11,null
10079280,4,12,1,null,12,null
10079461,3,15,10,null,4,null
10079936,1,2,1,null,15,null
10080214,14,4,12,null,13,null
10080243,8,8,2,null,13,null
10080417,7,1,2,null,10,null
10080966,15,4,13,null,5,null
10081321,1,14,13,null,1,null
10081353,14,2,2,null,5,null
10081417,1,2,8,null,15,null
10081623,8,14,14,null,14,null
10081714,12,12,14,null,15,null
10082499,13,12,15,null,15,null
10082733,4,14,7,null,1,null
10082941,15,13,14,null,3,null
10083051,3,5,8,null,3,null
10083145,15,3,13,null,11,null
10083168,5,5,12,null,14,null
10083259,13,2,15,null,12,null
10083358,15,12,15,null,10,null
10083413,15,10,3,null,2,null
10083462,7,11,13,null,8,null
10084009,2,5,14,null,15,null
10084216,14,3,13,null,11,null
10084307,12,14,12,null,2,null
10084311,13,12,12,null,13,null
10084385,13,3,4,null,5,null
10084595,7,10,9,null,11,null
10084641,7,5,6,null,8,null
10084810,9,11,3,null,11,null
10084841,7,15,13,null,11,null
10085247,6,15,1,null,3,null
10085404,6,14,3,null,12,null
10085417,15,4,14,null,12,null
10085445,15,1,3,null,13,null
10085652,12,6,7,null,12,null
10086168,9,15,13,null,12,null
10086211,5,7,15,null,11,null
10086269,7,5,4,null,3,null
10086358,14,14,13,null,15,null
10086745,4,12,8,null,11,null
10086855,14,7,1,null,4,null
10086904,3,5,8,null,15,null
10087072,15,11,7,null,11,null
10087745,11,9,2,null,5,null
10088250,4,10,4,null,12,null
10088258,2,10,10,null,14,null
10088283,12,10,9,null,4,null
10088312,3,3,3,null,6,null
10088315,12,4,4,null,11,null
10088324,2,13,10,null,8,null
10088610,11,12,14,null,11,null
10089088,3,12,13,null,8,null
10089462,5,15,13,null,11,null
10089891,4,15,12,null,12,null
10090135,9,12,4,null,9,null
10090276,8,10,8,null,15,null
10090278,11,9,13,null,14,null
10090651,12,15,1,null,2,null
10091162,11,11,11,null,2,null
10091309,7,11,3,null,14,null
10091557,12,3,5,null,11,null
10092017,10,13,15,null,10,null
10092126,9,1,6,null,15,null
10092261,15,14,15,null,1,null
10092303,1,11,15,null,1,null
10092317,10,5,13,null,3,null
10092382,12,3,2,null,15,null
10092602,11,15,1,null,13,null
10092716,3,12,5,null,3,null
10092952,12,1,15,null,14,null
10093224,4,13,8,null,13,null
10093793,13,4,14,null,15,null
10093901,14,12,12,null,1,null
10094214,9,2,15,null,12,null
10094236,10,11,8,null,13,null
10094723,6,8,4,null,14,null
10094932,1,1,14,null,13,null
10095169,10,3,12,null,12,null
10095552,1,14,14,null,1,null
10095603,15,5,13,null,1,null
10095644,7,9,15,null,5,null
10095663,5,14,7,null,14,null
10095923,3,2,9,null,15,null
10095935,13,4,9,null,13,null
10096007,4,5,12,null,12,null
10096450,15,4,6,null,12,null
10096856,15,14,15,null,12,null
10096898,1,15,14,null,12,null
10097383,9,5,3,null,5,null
10097422,15,14,14,null,7,null
10097498,12,1,13,null,15,null
10097501,13,12,5,null,9,null
10098035,15,13,14,null,13,null
10098130,15,12,15,null,2,null
10098160,14,3,9,null,14,null
10098278,10,12,5,null,2,null
10098378,5,11,14,null,10,null
10098606,11,10,5,null,4,null
10098830,3,13,1,null,14,null
10098953,3,13,11,null,8,null
10098982,13,9,7,null,12,null
10099098,2,8,4,null,13,null
10099623,14,12,3,null,4,null
10100043,13,2,15,null,6,null
10100167,1,15,12,null,1,null
10100222,14,5,1,null,4,null
10100244,8,11,2,null,12,null
10100633,4,14,1,null,13,null
10101040,10,13,15,null,12,null
10101288,12,2,10,null,5,null
10101378,4,14,15,null,12,null
10101462,1,10,8,null,14,null
10101590,3,2,7,null,12,null
10101785,1,11,13,null,13,null
10101887,11,13,12,null,12,null
10102029,12,9,3,null,11,null
10102284,12,4,15,null,12,null
10102653,7,13,5,null,12,null
10102824,9,15,3,null,15,null
10102897,11,7,11,null,5,null
10103270,12,15,15,null,14,null
10103286,1,3,15,null,10,null
10103306,10,15,10,null,8,null
10103720,4,13,15,null,6,null
10103934,1,7,15,null,12,null
10104041,15,14,15,null,3,null
10104044,6,2,5,null,12,null
10104066,2,1,4,null,15,null
10104099,5,13,4,null,5,null
10104147,9,15,10,null,14,null
10104709,13,12,3,null,8,null
10104929,14,5,11,null,12,null
10104932,5,13,14,null,15,null
10105206,9,2,12,null,12,null
10105235,9,11,3,null,6,null
10105245,11,13,12,null,13,null
10105680,3,1,10,null,1,null
10105807,13,10,4,null,8,null
10106250,11,10,10,null,5,null
10106297,10,7,3,null,12,null
10106306,9,3,13,null,2,null
10106494,12,4,15,null,15,null
10106499,12,2,14,null,5,null
10106554,15,13,11,null,7,null
10106574,12,12,6,null,1,null
10106695,4,8,2,null,4,null
10106722,12,12,13,null,11,null
10106926,5,7,1,null,12,null
10106989,2,1,2,null,15,null
10107006,1,11,15,null,1,null
10107260,11,15,4,null,15,null
10107340,2,13,7,null,14,null
10107439,9,15,5,null,12,null
10107461,9,2,4,null,13,null
10107684,13,2,15,null,13,null
10107707,15,2,14,null,14,null
10107830,11,2,1,null,2,null
10107928,9,13,3,null,3,null
10107940,12,4,8,null,12,null
10108108,14,13,1,null,14,null
10108369,10,12,13,null,6,null
10108501,3,5,15,null,8,null
10108768,15,1,2,null,9,null
10109253,1,13,12,null,1,null
10109513,15,2,10,null,4,null
10109696,12,12,4,null,15,null
10109868,14,13,12,null,1,null
10110365,1,7,1,null,1,null
10110411,15,14,3,null,9,null
10110617,4,2,4,null,10,null
10110680,2,14,11,null,3,null
10110739,10,12,13,null,14,null
10110793,15,6,8,null,2,null
10111344,6,12,13,null,3,null
10112025,2,11,10,null,15,null
10112035,8,15,1,null,15,null
10112037,11,1,15,null,13,null
10112294,8,3,5,null,13,null
10112845,8,11,5,null,12,null
10112863,15,5,1,null,6,null
10112929,12,3,13,null,13,null
10113102,1,13,8,null,14,null
10113244,5,10,13,null,3,null
10113412,2,11,13,null,5,null
10113484,12,13,13,null,12,null
10113576,2,11,13,null,3,null
10113639,9,2,14,null,1,null
10113848,5,15,1,null,3,null
10113920,4,2,8,null,14,null
10114108,2,4,4,null,12,null
10114254,15,14,12,null,2,null
10114429,9,12,9,null,14,null
10114490,8,4,7,null,12,null
10114788,13,3,3,null,4,null
10114950,15,14,7,null,2,null
10115321,15,3,15,null,13,null
10115389,12,15,14,null,2,null
10115575,15,14,15,null,6,null
10116065,5,3,8,null,8,null
10116398,10,12,14,null,14,null
10116433,5,14,8,null,4,null
10116642,13,13,1,null,1,null
10116713,14,12,8,null,11,null
10116730,2,13,4,null,12,null
10116821,10,4,2,null,4,null
10116934,2,11,11,null,4,null
10117039,15,12,11,null,15,null
10117042,4,15,2,null,15,null
10117066,4,14,8,null,14,null
10117295,1,4,13,null,15,null
10117477,1,12,2,null,2,null
10117494,5,9,12,null,7,null
10117944,7,13,4,null,2,null
10118399,1,12,14,null,2,null
10118870,7,8,13,null,14,null
10118930,15,12,8,null,10,null
10119562,5,4,9,null,14,null
10119743,5,14,14,null,12,null
10119761,3,15,3,null,13,null
10120122,12,15,10,null,4,null
10120281,15,1,15,null,2,null
10120284,4,11,4,null,9,null
10120342,15,5,8,null,14,null
10120459,2,3,2,null,13,null
10120551,10,4,3,null,14,null
10120592,12,2,9,null,4,null
10120745,13,4,2,null,2,null
10121082,4,4,1,null,12,null
10121308,3,8,15,null,4,null
10121358,2,12,10,null,3,null
10121438,14,1,8,null,2,null
10121631,4,14,1,null,10,null
10121969,15,6,5,null,4,null
10122545,9,10,8,null,12,null
10122829,13,15,6,null,15,null
10123463,14,13,12,null,7,null
10123505,5,3,15,null,13,null
10123685,5,1,12,null,6,null
10123695,2,2,14,null,6,null
10124171,15,11,3,null,14,null
10124495,15,13,12,null,10,null
10124578,15,12,5,null,15,null
10124598,5,3,13,null,14,null
10124919,5,2,14,null,5,null
10124922,8,12,11,null,14,null
10124980,5,9,14,null,10,null
10124984,11,2,15,null,14,null
10125551,14,10,14,null,2,null
10125843,13,4,13,null,14,null
10125990,15,9,12,null,3,null
10126475,1,14,15,null,4,null
10127186,3,12,1,null,9,null
10127314,13,3,11,null,2,null
10127386,11,13,1,null,4,null
10127413,15,4,4,null,7,null
10127581,11,15,12,null,12,null
10127616,13,4,11,null,2,null
10127720,13,4,5,null,12,null
10127722,13,2,15,null,15,null
10128020,13,13,15,null,12,null
10128048,11,15,9,null,9,null
10128096,15,4,15,null,13,null
10128187,10,13,12,null,11,null
10128189,3,4,5,null,10,null
10128285,5,2,2,null,2,null
10128408,4,5,11,null,2,null
10128443,14,3,1,null,5,null
10128568,4,15,13,null,15,null
10128661,11,2,3,null,3,null
10128741,9,12,15,null,4,null
10128768,1,10,15,null,3,null
10128866,5,1,9,null,12,null
10129314,1,3,12,null,13,null
10129511,5,2,6,null,2,null
10129719,15,15,12,null,1,null
10130268,1,15,4,null,1,null
10130556,15,2,12,null,2,null
10130670,15,13,3,null,14,null
10131225,9,1,8,null,9,null
10131239,13,15,14,null,3,null
10131252,1,2,3,null,1,null
10131387,11,6,10,null,2,null
10131546,2,3,9,null,4,null
10131786,14,12,2,null,4,null
10132151,5,12,3,null,11,null
10132461,15,10,13,null,9,null
10132593,15,10,15,null,9,null
10132800,15,4,15,null,12,null
10132854,12,9,8,null,12,null
10132941,15,9,4,null,15,null
10133046,14,3,4,null,1,null
10133082,15,12,10,null,11,null
10133239,14,11,12,null,10,null
10133342,14,4,11,null,12,null
10133531,11,5,5,null,4,null
10133538,15,14,3,null,12,null
10133981,15,12,15,null,7,null
10134253,15,10,2,null,14,null
10134845,15,4,12,null,15,null
10134879,2,15,3,null,3,null
10135031,10,15,5,null,5,null
10135157,15,4,1,null,15,null
10135262,14,13,11,null,2,null
10135464,4,5,1,null,4,null
10135630,2,15,15,null,3,null
10135988,12,13,14,null,7,null
10136178,12,15,14,null,2,null
10136435,12,15,13,null,9,null
10136469,13,11,10,null,13,null
10136857,11,9,15,null,3,null
10137166,14,3,13,null,11,null
10137302,12,5,12,null,13,null
10137495,1,11,12,null,5,null
10137524,14,15,2,null,4,null
10137548,8,15,6,null,1,null
10137677,8,3,15,null,9,null
10137785,14,15,2,null,1,null
10137850,4,12,7,null,11,null
10138030,5,1,9,null,3,null
10138340,12,7,6,null,8,null
10138424,12,8,12,null,1,null
10138477,15,14,14,null,1,null
10138570,1,9,9,null,3,null
10138684,14,9,2,null,3,null
10138822,5,5,3,null,1,null
10138906,15,9,2,null,10,null
10139327,13,13,15,null,13,null
10139377,6,15,12,null,2,null
10139534,11,2,1,null,4,null
10139691,7,12,13,null,8,null
10139990,8,15,12,null,12,null
10140112,3,4,11,null,15,null
10140168,11,13,2,null,1,null
10140299,9,9,10,null,9,null
10140441,6,10,1,null,14,null
10140630,14,8,4,null,2,null
10140791,15,6,14,null,13,null
10140956,5,2,15,null,2,null
10141092,9,9,14,null,1,null
10141210,12,2,5,null,8,null
10141241,6,13,15,null,14,null
10141256,11,11,3,null,4,null
10141279,2,1,8,null,9,null
10141311,5,4,12,null,15,null
10141317,15,13,15,null,15,null
10141354,5,3,2,null,14,null
10141362,13,15,15,null,3,null
10141450,1,9,2,null,2,null
10141641,13,5,10,null,2,null
10141871,3,15,10,null,12,null
10142116,2,1,15,null,2,null
10142359,3,5,15,null,4,null
10143002,13,14,9,null,14,null
10143082,5,4,1,null,12,null
10143119,5,3,11,null,15,null
10143343,13,12,14,null,11,null
10143395,11,15,5,null,3,null
10143528,12,6,4,null,9,null
10143579,5,3,5,null,13,null
10144113,15,9,8,null,15,null
10144324,9,4,2,null,13,null
10144448,2,14,10,null,13,null
10144487,12,8,14,null,12,null
10144538,13,4,2,null,14,null
10144657,13,12,14,null,13,null
10144730,4,1,1,null,13,null
10144794,7,12,2,null,3,null
10144979,12,14,5,null,14,null
10145062,2,1,2,null,1,null
10145421,12,14,3,null,8,null
10145506,12,12,13,null,12,null
10145726,6,3,14,null,13,null
10145861,10,14,15,null,15,null
10145917,10,12,13,null,6,null
10146091,14,8,12,null,14,null
10146181,12,4,15,null,4,null
10146330,5,11,14,null,12,null
10146519,14,14,9,null,1,null
10146520,2,11,15,null,10,null
10146905,1,13,9,null,4,null
10146910,14,14,5,null,3,null
10146985,13,5,4,null,2,null
10147075,10,4,4,null,3,null
10147600,15,15,3,null,13,null
10147863,3,1,9,null,2,null
10147908,14,4,10,null,14,null
10147930,9,9,8,null,9,null
10148010,12,15,4,null,4,null
10148083,12,15,11,null,14,null
10148094,1,13,1,null,5,null
10148117,15,11,10,null,4,null
10148134,1,15,5,null,11,null
10148397,4,12,12,null,12,null
10148531,14,8,6,null,5,null
10148584,15,13,15,null,8,null
10149023,13,3,10,null,3,null
10149337,15,4,4,null,3,null
10149602,4,1,4,null,13,null
10149715,11,5,3,null,13,null
10149739,1,3,12,null,2,null
10149854,5,13,15,null,15,null
10149990,7,12,14,null,14,null
10150048,14,2,9,null,9,null
10151136,5,14,3,null,2,null
10151183,12,3,14,null,1,null
10151416,7,14,2,null,13,null
10151489,2,3,11,null,4,null
10152044,15,1,11,null,10,null
10152055,14,9,5,null,2,null
10152202,4,15,4,null,15,null
10152544,15,15,4,null,2,null
10152548,14,12,14,null,3,null
10152575,8,14,1,null,15,null
10153065,14,12,14,null,12,null
10153261,13,15,8,null,2,null
10153748,4,13,8,null,4,null
10153808,12,1,2,null,12,null
10153932,2,13,3,null,12,null
10154048,8,12,12,null,3,null
10154066,4,13,7,null,15,null
10154203,9,8,15,null,11,null
10154363,9,3,2,null,13,null
10154529,15,9,14,null,7,null
10154542,14,15,9,null,12,null
10154905,15,2,2,null,4,null
10155290,2,2,1,null,12,null
10155823,14,11,14,null,13,null
10155842,2,15,14,null,1,null
